id,order_date,ship_mode,customer_id,sales
100006,9/7/2014,Standard,DK-13375,377.97
100090,7/8/2014,Standard,EB-13705,699.192
100293,3/14/2014,Standard,NF-18475,91.056
100328,1/28/2014,Standard,JC-15340,3.928
100363,4/8/2014,Standard,JM-15655,21.376
100391,5/25/2014,Standard,BW-11065,14.62
100678,4/18/2014,Standard,KM-16720,697.074
100706,12/16/2014,Second,LE-16810,129.44
100762,11/24/2014,Standard,NG-18355,508.62
100860,3/26/2014,Second,CS-12505,18.75
100867,10/19/2014,Standard,EH-14125,321.552
100881,3/28/2014,Standard,DR-12940,302.376
100895,6/2/2014,Standard,SV-20785,605.47
100916,10/21/2014,Standard,FH-14275,788.86
100972,11/19/2014,Second,DB-13360,166.44
101147,12/2/2014,First,MC-17575,2.394
101175,12/9/2014,Standard,DM-12955,100.704
101266,8/27/2014,Second,MM-17920,13.36
101364,12/22/2014,Standard,TW-21025,296.712
101392,12/7/2014,Standard,AS-10630,269.36
101427,12/26/2014,Standard,AY-10555,8.016
101462,4/20/2014,Standard,BP-11230,59.92
101476,9/12/2014,First,SD-20485,69.99
101560,11/28/2014,Second,CS-12250,542.34
101602,12/15/2014,First,MC-18100,803.96
101770,3/31/2014,Standard,KB-16240,1.869
101833,11/17/2014,Second,FG-14260,34.44
101931,10/28/2014,First,TS-21370,1252.602
102008,9/30/2014,Standard,RA-19915,48.94
102085,10/4/2014,Standard,JD-16015,29.24
102274,11/21/2014,Standard,DH-13075,865.5
102295,11/24/2014,Second,EH-13990,120.712
102330,12/29/2014,Standard,AI-10855,408.768
102645,1/23/2014,Standard,IM-15055,40.08
102652,4/6/2014,Standard,AY-10555,199.99
102673,11/1/2014,Standard,KH-16630,1044.44
102869,9/9/2014,Second,LC-17140,233.244
102988,4/5/2014,Second,GM-14695,4251.92
103058,7/23/2014,First,AG-10270,99.98
103086,10/17/2014,Second,EB-14170,5.312
103100,12/20/2014,First,AB-10105,1107.66
103191,9/22/2014,Standard,VG-21805,331.536
103219,11/9/2014,Standard,BF-11215,56.52
103310,5/10/2014,Standard,GM-14680,1769.784
103317,7/5/2014,First,DM-13525,242.546
